,	GeoArea_FIPS	GeoArea_Name	Date	Published_Value
0	37001	Alamance, NC	01-01-19	11953854.08
1	37001	Alamance, NC	01-01-20	12757939.09
2	37001	Alamance, NC	02-01-19	9033608.52
3	37001	Alamance, NC	02-01-20	9057131.6
4	37001	Alamance, NC	03-01-19	9006359.21
5	37001	Alamance, NC	04-01-19	10810131.23
6	37001	Alamance, NC	05-01-19	10467511.53
7	37001	Alamance, NC	06-01-19	10539132.13
8	37001	Alamance, NC	07-01-19	11396715.96
9	37001	Alamance, NC	08-01-19	10909983.58
10	37001	Alamance, NC	09-01-19	10149764.93
11	37001	Alamance, NC	10-01-18	10004255.93
12	37001	Alamance, NC	10-01-19	10105283.98
13	37001	Alamance, NC	11-01-18	10150905.88
14	37001	Alamance, NC	11-01-19	9906969.71
15	37001	Alamance, NC	12-01-18	10641773.85
16	37001	Alamance, NC	12-01-19	10944462.95
17	37003	Alexander, NC	01-01-19	902058.11
18	37003	Alexander, NC	01-01-20	1077220.5
19	37003	Alexander, NC	02-01-19	800011.29
20	37003	Alexander, NC	02-01-20	804316.7
21	37003	Alexander, NC	03-01-19	797676.5
22	37003	Alexander, NC	04-01-19	930421.47
23	37003	Alexander, NC	05-01-19	919117.25
24	37003	Alexander, NC	06-01-19	911366.44
25	37003	Alexander, NC	07-01-19	906996.24
26	37003	Alexander, NC	08-01-19	853330.71
27	37003	Alexander, NC	09-01-19	863871.12
28	37003	Alexander, NC	10-01-18	833295.55
29	37003	Alexander, NC	10-01-19	887173.65
30	37003	Alexander, NC	11-01-18	819955.23
31	37003	Alexander, NC	11-01-19	888559.94
32	37003	Alexander, NC	12-01-18	836831.02
33	37003	Alexander, NC	12-01-19	933090.53
34	37005	Alleghany, NC	01-01-19	295485.4
35	37005	Alleghany, NC	01-01-20	377176.27
36	37005	Alleghany, NC	02-01-19	411433.83
37	37005	Alleghany, NC	02-01-20	327271.23
38	37005	Alleghany, NC	03-01-19	292330.45
39	37005	Alleghany, NC	04-01-19	323355.02
40	37005	Alleghany, NC	05-01-19	303952.34
41	37005	Alleghany, NC	06-01-19	342060.3
42	37005	Alleghany, NC	07-01-19	353488.02
43	37005	Alleghany, NC	08-01-19	395509.41
44	37005	Alleghany, NC	09-01-19	361759.39
45	37005	Alleghany, NC	10-01-18	334012.92
46	37005	Alleghany, NC	10-01-19	404200.35
47	37005	Alleghany, NC	11-01-18	314246.99
48	37005	Alleghany, NC	11-01-19	382901.97
49	37005	Alleghany, NC	12-01-18	310448.2
50	37005	Alleghany, NC	12-01-19	359699.28
51	37007	Anson, NC	01-01-19	707384.78
52	37007	Anson, NC	01-01-20	694251.94
53	37007	Anson, NC	02-01-19	570157.76
54	37007	Anson, NC	02-01-20	587221.68
55	37007	Anson, NC	03-01-19	535474.74
56	37007	Anson, NC	04-01-19	706618.27
57	37007	Anson, NC	05-01-19	649259.03
58	37007	Anson, NC	06-01-19	665964.91
59	37007	Anson, NC	07-01-19	696782.94
60	37007	Anson, NC	08-01-19	625045.34
61	37007	Anson, NC	09-01-19	595217.03
62	37007	Anson, NC	10-01-18	607177.71
63	37007	Anson, NC	10-01-19	608442.41
64	37007	Anson, NC	11-01-18	596442.35
65	37007	Anson, NC	11-01-19	578191.54
66	37007	Anson, NC	12-01-18	634645.65
67	37007	Anson, NC	12-01-19	604830.78
68	37009	Ashe, NC	01-01-19	1141923.01
69	37009	Ashe, NC	01-01-20	1372561.92
70	37009	Ashe, NC	02-01-19	932433.83
71	37009	Ashe, NC	02-01-20	1074872.0
72	37009	Ashe, NC	03-01-19	970276.93
73	37009	Ashe, NC	04-01-19	1163932.55
74	37009	Ashe, NC	05-01-19	1192388.3
75	37009	Ashe, NC	06-01-19	1287209.74
76	37009	Ashe, NC	07-01-19	1301563.57
77	37009	Ashe, NC	08-01-19	1224625.95
78	37009	Ashe, NC	09-01-19	1221334.88
79	37009	Ashe, NC	10-01-18	1152274.4
80	37009	Ashe, NC	10-01-19	1337459.68
81	37009	Ashe, NC	11-01-18	1139192.1
82	37009	Ashe, NC	11-01-19	1317268.17
83	37009	Ashe, NC	12-01-18	1117479.11
84	37009	Ashe, NC	12-01-19	1286587.24
85	37011	Avery, NC	01-01-19	1183491.84
86	37011	Avery, NC	01-01-20	1254051.51
87	37011	Avery, NC	02-01-19	980838.03
88	37011	Avery, NC	02-01-20	1481724.0
89	37011	Avery, NC	03-01-19	1073139.98
90	37011	Avery, NC	04-01-19	969820.79
91	37011	Avery, NC	05-01-19	990322.36
92	37011	Avery, NC	06-01-19	1219073.6
93	37011	Avery, NC	07-01-19	1519147.96
94	37011	Avery, NC	08-01-19	1561200.92
95	37011	Avery, NC	09-01-19	1449640.17
96	37011	Avery, NC	10-01-18	1265383.61
97	37011	Avery, NC	10-01-19	1433584.24
98	37011	Avery, NC	11-01-18	1324269.41
99	37011	Avery, NC	11-01-19	1403952.59
100	37011	Avery, NC	12-01-18	1065919.54
101	37011	Avery, NC	12-01-19	1175209.08
102	37013	Beaufort, NC	01-01-19	2327096.42
103	37013	Beaufort, NC	01-01-20	2296355.97
104	37013	Beaufort, NC	02-01-19	1835356.28
105	37013	Beaufort, NC	02-01-20	1953505.37
106	37013	Beaufort, NC	03-01-19	1822437.0
107	37013	Beaufort, NC	04-01-19	2164637.99
108	37013	Beaufort, NC	05-01-19	2171697.36
109	37013	Beaufort, NC	06-01-19	2233587.53
110	37013	Beaufort, NC	07-01-19	2361760.16
111	37013	Beaufort, NC	08-01-19	2117304.86
112	37013	Beaufort, NC	09-01-19	2063793.19
113	37013	Beaufort, NC	10-01-18	1911581.57
114	37013	Beaufort, NC	10-01-19	2129427.91
115	37013	Beaufort, NC	11-01-18	2122820.01
116	37013	Beaufort, NC	11-01-19	2118910.95
117	37013	Beaufort, NC	12-01-18	2040423.23
118	37013	Beaufort, NC	12-01-19	1959431.58
119	37015	Bertie, NC	01-01-19	379269.14
120	37015	Bertie, NC	01-01-20	391897.53
