	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	GeoArea_FIPS	GeoArea_Name	Date	Published_Value
0	0.0	0.0	0.0	37001	Alamance, NC	01-01-19	11953854.08
1	1.0	1.0	1.0	37001	Alamance, NC	01-01-20	12757939.09
2	2.0	2.0	2.0	37001	Alamance, NC	02-01-19	9033608.52
3	3.0	3.0	3.0	37001	Alamance, NC	02-01-20	9057131.6
4	4.0	4.0	4.0	37001	Alamance, NC	03-01-19	9006359.21
5	5.0	5.0	5.0	37001	Alamance, NC	04-01-19	10810131.23
6	6.0	6.0	6.0	37001	Alamance, NC	05-01-19	10467511.53
7	7.0	7.0	7.0	37001	Alamance, NC	06-01-19	10539132.13
8	8.0	8.0	8.0	37001	Alamance, NC	07-01-19	11396715.96
9	9.0	9.0	9.0	37001	Alamance, NC	08-01-19	10909983.58
10	10.0	10.0	10.0	37001	Alamance, NC	09-01-19	10149764.93
11	11.0	11.0	11.0	37001	Alamance, NC	10-01-18	10004255.93
12	12.0	12.0	12.0	37001	Alamance, NC	10-01-19	10105283.98
13	13.0	13.0	13.0	37001	Alamance, NC	11-01-18	10150905.88
14	14.0	14.0	14.0	37001	Alamance, NC	11-01-19	9906969.71
15	15.0	15.0	15.0	37001	Alamance, NC	12-01-18	10641773.85
16	16.0	16.0	16.0	37001	Alamance, NC	12-01-19	10944462.95
17	17.0	17.0	17.0	37003	Alexander, NC	01-01-19	902058.11
18	18.0	18.0	18.0	37003	Alexander, NC	01-01-20	1077220.5
19	19.0	19.0	19.0	37003	Alexander, NC	02-01-19	800011.29
20	20.0	20.0	20.0	37003	Alexander, NC	02-01-20	804316.7
21	21.0	21.0	21.0	37003	Alexander, NC	03-01-19	797676.5
22	22.0	22.0	22.0	37003	Alexander, NC	04-01-19	930421.47
23	23.0	23.0	23.0	37003	Alexander, NC	05-01-19	919117.25
24	24.0	24.0	24.0	37003	Alexander, NC	06-01-19	911366.44
25	25.0	25.0	25.0	37003	Alexander, NC	07-01-19	906996.24
26	26.0	26.0	26.0	37003	Alexander, NC	08-01-19	853330.71
27	27.0	27.0	27.0	37003	Alexander, NC	09-01-19	863871.12
28	28.0	28.0	28.0	37003	Alexander, NC	10-01-18	833295.55
29	29.0	29.0	29.0	37003	Alexander, NC	10-01-19	887173.65
30	30.0	30.0	30.0	37003	Alexander, NC	11-01-18	819955.23
31	31.0	31.0	31.0	37003	Alexander, NC	11-01-19	888559.94
32	32.0	32.0	32.0	37003	Alexander, NC	12-01-18	836831.02
33	33.0	33.0	33.0	37003	Alexander, NC	12-01-19	933090.53
34	34.0	34.0	34.0	37005	Alleghany, NC	01-01-19	295485.4
35	35.0	35.0	35.0	37005	Alleghany, NC	01-01-20	377176.27
36	36.0	36.0	36.0	37005	Alleghany, NC	02-01-19	411433.83
37	37.0	37.0	37.0	37005	Alleghany, NC	02-01-20	327271.23
38	38.0	38.0	38.0	37005	Alleghany, NC	03-01-19	292330.45
39	39.0	39.0	39.0	37005	Alleghany, NC	04-01-19	323355.02
40	40.0	40.0	40.0	37005	Alleghany, NC	05-01-19	303952.34
41	41.0	41.0	41.0	37005	Alleghany, NC	06-01-19	342060.3
42	42.0	42.0	42.0	37005	Alleghany, NC	07-01-19	353488.02
43	43.0	43.0	43.0	37005	Alleghany, NC	08-01-19	395509.41
44	44.0	44.0	44.0	37005	Alleghany, NC	09-01-19	361759.39
45	45.0	45.0	45.0	37005	Alleghany, NC	10-01-18	334012.92
46	46.0	46.0	46.0	37005	Alleghany, NC	10-01-19	404200.35
47	47.0	47.0	47.0	37005	Alleghany, NC	11-01-18	314246.99
48	48.0	48.0	48.0	37005	Alleghany, NC	11-01-19	382901.97
49	49.0	49.0	49.0	37005	Alleghany, NC	12-01-18	310448.2
50	50.0	50.0	50.0	37005	Alleghany, NC	12-01-19	359699.28
51	51.0	51.0	51.0	37007	Anson, NC	01-01-19	707384.78
52	52.0	52.0	52.0	37007	Anson, NC	01-01-20	694251.94
53	53.0	53.0	53.0	37007	Anson, NC	02-01-19	570157.76
54	54.0	54.0	54.0	37007	Anson, NC	02-01-20	587221.68
55	55.0	55.0	55.0	37007	Anson, NC	03-01-19	535474.74
56	56.0	56.0	56.0	37007	Anson, NC	04-01-19	706618.27
57	57.0	57.0	57.0	37007	Anson, NC	05-01-19	649259.03
58	58.0	58.0	58.0	37007	Anson, NC	06-01-19	665964.91
59	59.0	59.0	59.0	37007	Anson, NC	07-01-19	696782.94
60	60.0	60.0	60.0	37007	Anson, NC	08-01-19	625045.34
61	61.0	61.0	61.0	37007	Anson, NC	09-01-19	595217.03
62	62.0	62.0	62.0	37007	Anson, NC	10-01-18	607177.71
63	63.0	63.0	63.0	37007	Anson, NC	10-01-19	608442.41
64	64.0	64.0	64.0	37007	Anson, NC	11-01-18	596442.35
65	65.0	65.0	65.0	37007	Anson, NC	11-01-19	578191.54
66	66.0	66.0	66.0	37007	Anson, NC	12-01-18	634645.65
67	67.0	67.0	67.0	37007	Anson, NC	12-01-19	604830.78
68	68.0	68.0	68.0	37009	Ashe, NC	01-01-19	1141923.01
69	69.0	69.0	69.0	37009	Ashe, NC	01-01-20	1372561.92
70	70.0	70.0	70.0	37009	Ashe, NC	02-01-19	932433.83
71	71.0	71.0	71.0	37009	Ashe, NC	02-01-20	1074872.0
72	72.0	72.0	72.0	37009	Ashe, NC	03-01-19	970276.93
73	73.0	73.0	73.0	37009	Ashe, NC	04-01-19	1163932.55
74	74.0	74.0	74.0	37009	Ashe, NC	05-01-19	1192388.3
75	75.0	75.0	75.0	37009	Ashe, NC	06-01-19	1287209.74
76	76.0	76.0	76.0	37009	Ashe, NC	07-01-19	1301563.57
77	77.0	77.0	77.0	37009	Ashe, NC	08-01-19	1224625.95
78	78.0	78.0	78.0	37009	Ashe, NC	09-01-19	1221334.88
79	79.0	79.0	79.0	37009	Ashe, NC	10-01-18	1152274.4
80	80.0	80.0	80.0	37009	Ashe, NC	10-01-19	1337459.68
81	81.0	81.0	81.0	37009	Ashe, NC	11-01-18	1139192.1
82	82.0	82.0	82.0	37009	Ashe, NC	11-01-19	1317268.17
83	83.0	83.0	83.0	37009	Ashe, NC	12-01-18	1117479.11
84	84.0	84.0	84.0	37009	Ashe, NC	12-01-19	1286587.24
85	85.0	85.0	85.0	37011	Avery, NC	01-01-19	1183491.84
86	86.0	86.0	86.0	37011	Avery, NC	01-01-20	1254051.51
87	87.0	87.0	87.0	37011	Avery, NC	02-01-19	980838.03
88	88.0	88.0	88.0	37011	Avery, NC	02-01-20	1481724.0
89	89.0	89.0	89.0	37011	Avery, NC	03-01-19	1073139.98
90	90.0	90.0	90.0	37011	Avery, NC	04-01-19	969820.79
91	91.0	91.0	91.0	37011	Avery, NC	05-01-19	990322.36
92	92.0	92.0	92.0	37011	Avery, NC	06-01-19	1219073.6
93	93.0	93.0	93.0	37011	Avery, NC	07-01-19	1519147.96
94	94.0	94.0	94.0	37011	Avery, NC	08-01-19	1561200.92
95	95.0	95.0	95.0	37011	Avery, NC	09-01-19	1449640.17
96	96.0	96.0	96.0	37011	Avery, NC	10-01-18	1265383.61
97	97.0	97.0	97.0	37011	Avery, NC	10-01-19	1433584.24
98	98.0	98.0	98.0	37011	Avery, NC	11-01-18	1324269.41
99	99.0	99.0	99.0	37011	Avery, NC	11-01-19	1403952.59
100	100.0	100.0	100.0	37011	Avery, NC	12-01-18	1065919.54
101	101.0	101.0	101.0	37011	Avery, NC	12-01-19	1175209.08
102	102.0	102.0	102.0	37013	Beaufort, NC	01-01-19	2327096.42
103	103.0	103.0	103.0	37013	Beaufort, NC	01-01-20	2296355.97
104	104.0	104.0	104.0	37013	Beaufort, NC	02-01-19	1835356.28
105	105.0	105.0	105.0	37013	Beaufort, NC	02-01-20	1953505.37
106	106.0	106.0	106.0	37013	Beaufort, NC	03-01-19	1822437.0
107	107.0	107.0	107.0	37013	Beaufort, NC	04-01-19	2164637.99
108	108.0	108.0	108.0	37013	Beaufort, NC	05-01-19	2171697.36
109	109.0	109.0	109.0	37013	Beaufort, NC	06-01-19	2233587.53
110	110.0	110.0	110.0	37013	Beaufort, NC	07-01-19	2361760.16
111	111.0	111.0	111.0	37013	Beaufort, NC	08-01-19	2117304.86
112	112.0	112.0	112.0	37013	Beaufort, NC	09-01-19	2063793.19
113	113.0	113.0	113.0	37013	Beaufort, NC	10-01-18	1911581.57
114	114.0	114.0	114.0	37013	Beaufort, NC	10-01-19	2129427.91
115	115.0	115.0	115.0	37013	Beaufort, NC	11-01-18	2122820.01
116	116.0	116.0	116.0	37013	Beaufort, NC	11-01-19	2118910.95
117	117.0	117.0	117.0	37013	Beaufort, NC	12-01-18	2040423.23
118	118.0	118.0	118.0	37013	Beaufort, NC	12-01-19	1959431.58
119	119.0	119.0	119.0	37015	Bertie, NC	01-01-19	379269.14
120	120.0	120.0	120.0	37015	Bertie, NC	01-01-20	391897.53
121	121.0	121.0	121.0	37015	Bertie, NC	02-01-19	323060.35
122	122.0	122.0	122.0	37015	Bertie, NC	02-01-20	357488.9
123	123.0	123.0	123.0	37015	Bertie, NC	03-01-19	296478.99
124	124.0	124.0	124.0	37015	Bertie, NC	04-01-19	401996.49
125	125.0	125.0	125.0	37015	Bertie, NC	05-01-19	338409.5
126	126.0	126.0	126.0	37015	Bertie, NC	06-01-19	368986.36
127	127.0	127.0	127.0	37015	Bertie, NC	07-01-19	341217.98
128	128.0	128.0	128.0	37015	Bertie, NC	08-01-19	365498.71
129	129.0	129.0	129.0	37015	Bertie, NC	09-01-19	369379.63
130	130.0	130.0	130.0	37015	Bertie, NC	10-01-18	363048.16
131	131.0	131.0	131.0	37015	Bertie, NC	10-01-19	348727.81
132	132.0	132.0	132.0	37015	Bertie, NC	11-01-18	325447.04
133	133.0	133.0	133.0	37015	Bertie, NC	11-01-19	335726.29
134	134.0	134.0	134.0	37015	Bertie, NC	12-01-18	330656.6
135	135.0	135.0	135.0	37015	Bertie, NC	12-01-19	374772.04
136	136.0	136.0	136.0	37017	Bladen, NC	01-01-19	937674.71
137	137.0	137.0	137.0	37017	Bladen, NC	01-01-20	961446.94
138	138.0	138.0	138.0	37017	Bladen, NC	02-01-19	780251.6
139	139.0	139.0	139.0	37017	Bladen, NC	02-01-20	880296.61
140	140.0	140.0	140.0	37017	Bladen, NC	03-01-19	793584.0
141	141.0	141.0	141.0	37017	Bladen, NC	04-01-19	882572.11
142	142.0	142.0	142.0	37017	Bladen, NC	05-01-19	878961.18
143	143.0	143.0	143.0	37017	Bladen, NC	06-01-19	937615.62
144	144.0	144.0	144.0	37017	Bladen, NC	07-01-19	935443.87
145	145.0	145.0	145.0	37017	Bladen, NC	08-01-19	919721.84
146	146.0	146.0	146.0	37017	Bladen, NC	09-01-19	885889.05
147	147.0	147.0	147.0	37017	Bladen, NC	10-01-18	725839.5
148	148.0	148.0	148.0	37017	Bladen, NC	10-01-19	801291.74
149	149.0	149.0	149.0	37017	Bladen, NC	11-01-18	823004.44
150	150.0	150.0	150.0	37017	Bladen, NC	11-01-19	856332.93
151	151.0	151.0	151.0	37017	Bladen, NC	12-01-18	875237.01
152	152.0	152.0	152.0	37017	Bladen, NC	12-01-19	804809.26
153	153.0	153.0	153.0	37019	Brunswick, NC	01-01-19	6758762.6
154	154.0	154.0	154.0	37019	Brunswick, NC	01-01-20	7597567.62
155	155.0	155.0	155.0	37019	Brunswick, NC	02-01-19	6197739.37
