GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
37000	FIPS_37000	North Carolina			  Agriculture, forestry, fishing and hunting	2001	4079817
37000	FIPS_37000	North Carolina			  Mining, quarrying, and oil and gas extraction	2001	539498
37000	FIPS_37000	North Carolina			  Utilities	2001	4691451
37000	FIPS_37000	North Carolina			  Construction	2001	14286138
37000	FIPS_37000	North Carolina			  Manufacturing	2001	70608437
37000	FIPS_37000	North Carolina			  Wholesale trade	2001	14615605
37000	FIPS_37000	North Carolina			  Retail trade	2001	18065233
37000	FIPS_37000	North Carolina			  Transportation and warehousing	2001	6728183
37000	FIPS_37000	North Carolina			  Information	2001	8530639
37000	FIPS_37000	North Carolina			   Real estate and rental and leasing	2001	29627364
37000	FIPS_37000	North Carolina			  Professional and business services	2001	25518906
37000	FIPS_37000	North Carolina			   Management of companies and enterprises	2001	5843599
37000	FIPS_37000	North Carolina			   Administrative and support and waste management and remediation services	2001	6866976
37000	FIPS_37000	North Carolina			   Educational services	2001	2273545
37000	FIPS_37000	North Carolina			   Health care and social assistance	2001	16014655
37000	FIPS_37000	North Carolina			   Arts, entertainment, and recreation	2001	1843994
37000	FIPS_37000	North Carolina			   Accommodation and food services	2001	6635929
37000	FIPS_37000	North Carolina			  Other services (except government and government enterprises)	2001	6558374
37000	FIPS_37000	North Carolina			Government and government enterprises	2001	37374599
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Agriculture, forestry, fishing and hunting	2001	19677
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Mining, quarrying, and oil and gas extraction	2001	7395
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Utilities	2001	9202
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Construction	2001	188368
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Manufacturing	2001	952060
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Wholesale trade	2001	194625
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Retail trade	2001	280707
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Transportation and warehousing	2001	69977
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Information	2001	32624
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Real estate and rental and leasing	2001	387779
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Professional and business services	2001	422237
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Management of companies and enterprises	2001	194408
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Administrative and support and waste management and remediation services	2001	111781
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Educational services	2001	51811
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Health care and social assistance	2001	270891
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Arts, entertainment, and recreation	2001	27835
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	   Accommodation and food services	2001	99784
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	  Other services (except government and government enterprises)	2001	110020
37001	FIPS_37001	Alamance County	Piedmont-Triad	Regional Partnership	Government and government enterprises	2001	292619
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Agriculture, forestry, fishing and hunting	2001	33640
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Mining, quarrying, and oil and gas extraction	2001	98
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Utilities	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Construction	2001	26499
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Manufacturing	2001	230875
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Wholesale trade	2001	9014
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Retail trade	2001	31321
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Transportation and warehousing	2001	16398
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Information	2001	1563
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Real estate and rental and leasing	2001	60543
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Professional and business services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Management of companies and enterprises	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Administrative and support and waste management and remediation services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Educational services	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Health care and social assistance	2001	
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Arts, entertainment, and recreation	2001	1823
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	   Accommodation and food services	2001	9202
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	  Other services (except government and government enterprises)	2001	20826
37003	FIPS_37003	Alexander County	Northwest	Western Piedmont	Government and government enterprises	2001	59155
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	34483
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	224
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Utilities	2001	1289
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Construction	2001	13187
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Manufacturing	2001	51607
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Wholesale trade	2001	1049
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Retail trade	2001	15464
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Transportation and warehousing	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Information	2001	1874
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Real estate and rental and leasing	2001	25989
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Professional and business services	2001	3169
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Management of companies and enterprises	2001	0
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	1619
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Educational services	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Health care and social assistance	2001	
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Arts, entertainment, and recreation	2001	3564
37005	FIPS_37005	Alleghany County	Northwest	High Country	   Accommodation and food services	2001	3358
37005	FIPS_37005	Alleghany County	Northwest	High Country	  Other services (except government and government enterprises)	2001	6009
37005	FIPS_37005	Alleghany County	Northwest	High Country	Government and government enterprises	2001	26734
37007	FIPS_37007	Anson County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	71730
37007	FIPS_37007	Anson County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	16016
37007	FIPS_37007	Anson County	Southwest	Centralina	  Utilities	2001	5200
37007	FIPS_37007	Anson County	Southwest	Centralina	  Construction	2001	15769
37007	FIPS_37007	Anson County	Southwest	Centralina	  Manufacturing	2001	156212
37007	FIPS_37007	Anson County	Southwest	Centralina	  Wholesale trade	2001	28097
37007	FIPS_37007	Anson County	Southwest	Centralina	  Retail trade	2001	26010
37007	FIPS_37007	Anson County	Southwest	Centralina	  Transportation and warehousing	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	  Information	2001	4370
37007	FIPS_37007	Anson County	Southwest	Centralina	   Real estate and rental and leasing	2001	44687
37007	FIPS_37007	Anson County	Southwest	Centralina	  Professional and business services	2001	16760
37007	FIPS_37007	Anson County	Southwest	Centralina	   Management of companies and enterprises	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2001	4518
37007	FIPS_37007	Anson County	Southwest	Centralina	   Educational services	2001	54
37007	FIPS_37007	Anson County	Southwest	Centralina	   Health care and social assistance	2001	16960
37007	FIPS_37007	Anson County	Southwest	Centralina	   Arts, entertainment, and recreation	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	   Accommodation and food services	2001	
37007	FIPS_37007	Anson County	Southwest	Centralina	  Other services (except government and government enterprises)	2001	12188
37007	FIPS_37007	Anson County	Southwest	Centralina	Government and government enterprises	2001	100701
37009	FIPS_37009	Ashe County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	40035
37009	FIPS_37009	Ashe County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	1480
37009	FIPS_37009	Ashe County	Northwest	High Country	  Utilities	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	  Construction	2001	44483
37009	FIPS_37009	Ashe County	Northwest	High Country	  Manufacturing	2001	141262
37009	FIPS_37009	Ashe County	Northwest	High Country	  Wholesale trade	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	  Retail trade	2001	41515
37009	FIPS_37009	Ashe County	Northwest	High Country	  Transportation and warehousing	2001	5926
37009	FIPS_37009	Ashe County	Northwest	High Country	  Information	2001	8090
37009	FIPS_37009	Ashe County	Northwest	High Country	   Real estate and rental and leasing	2001	61116
37009	FIPS_37009	Ashe County	Northwest	High Country	  Professional and business services	2001	16012
37009	FIPS_37009	Ashe County	Northwest	High Country	   Management of companies and enterprises	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Educational services	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Health care and social assistance	2001	
37009	FIPS_37009	Ashe County	Northwest	High Country	   Arts, entertainment, and recreation	2001	4404
37009	FIPS_37009	Ashe County	Northwest	High Country	   Accommodation and food services	2001	9327
37009	FIPS_37009	Ashe County	Northwest	High Country	  Other services (except government and government enterprises)	2001	16755
37009	FIPS_37009	Ashe County	Northwest	High Country	Government and government enterprises	2001	49607
37011	FIPS_37011	Avery County	Northwest	High Country	  Agriculture, forestry, fishing and hunting	2001	49999
37011	FIPS_37011	Avery County	Northwest	High Country	  Mining, quarrying, and oil and gas extraction	2001	93
37011	FIPS_37011	Avery County	Northwest	High Country	  Utilities	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	  Construction	2001	30499
37011	FIPS_37011	Avery County	Northwest	High Country	  Manufacturing	2001	14841
37011	FIPS_37011	Avery County	Northwest	High Country	  Wholesale trade	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	  Retail trade	2001	25708
37011	FIPS_37011	Avery County	Northwest	High Country	  Transportation and warehousing	2001	7682
37011	FIPS_37011	Avery County	Northwest	High Country	  Information	2001	5449
37011	FIPS_37011	Avery County	Northwest	High Country	   Real estate and rental and leasing	2001	88459
37011	FIPS_37011	Avery County	Northwest	High Country	  Professional and business services	2001	14154
37011	FIPS_37011	Avery County	Northwest	High Country	   Management of companies and enterprises	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Administrative and support and waste management and remediation services	2001	5999
37011	FIPS_37011	Avery County	Northwest	High Country	   Educational services	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Health care and social assistance	2001	
37011	FIPS_37011	Avery County	Northwest	High Country	   Arts, entertainment, and recreation	2001	18407
37011	FIPS_37011	Avery County	Northwest	High Country	   Accommodation and food services	2001	18727
37011	FIPS_37011	Avery County	Northwest	High Country	  Other services (except government and government enterprises)	2001	14813
37011	FIPS_37011	Avery County	Northwest	High Country	Government and government enterprises	2001	51513
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	55255
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	32
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Utilities	2001	6093
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Construction	2001	46321
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Manufacturing	2001	537888
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Wholesale trade	2001	50052
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Retail trade	2001	73755
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Transportation and warehousing	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Information	2001	18995
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Real estate and rental and leasing	2001	100590
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Professional and business services	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Management of companies and enterprises	2001	
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Administrative and support and waste management and remediation services	2001	13098
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Educational services	2001	2452
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Health care and social assistance	2001	78369
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Arts, entertainment, and recreation	2001	2750
37013	FIPS_37013	Beaufort County	Northeast	Region Q	   Accommodation and food services	2001	36847
37013	FIPS_37013	Beaufort County	Northeast	Region Q	  Other services (except government and government enterprises)	2001	30080
37013	FIPS_37013	Beaufort County	Northeast	Region Q	Government and government enterprises	2001	134804
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	50926
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	0
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Utilities	2001	118
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Construction	2001	7302
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Manufacturing	2001	452001
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Wholesale trade	2001	11976
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Retail trade	2001	14003
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Transportation and warehousing	2001	
37015	FIPS_37015	Bertie County	Northeast	Region Q	  Information	2001	698
